area,ga_placename
ceantair ghaeltachta,Binn an Ghlais
ceantair ghaeltachta,Binn Bhán
ceantair ghaeltachta,Binn Braoin
ceantair ghaeltachta,Binn Dhubh
ceantair ghaeltachta,Binn an Choire
ceantair ghaeltachta,An Bhinn Charrach
ceantair ghaeltachta,Binn an Choire Bhig
ceantair ghaeltachta,An Chailleach
ceantair ghaeltachta,Binn Gabhar
ceantair ghaeltachta,Binn Shléibhe
ceantair ghaeltachta,Binn an Doirín
ceantair ghaeltachta,Binn an Phrúntaigh
ceantair ghaeltachta,Binse Ghibson
ceantair ghaeltachta,Binn an tSléibhe Mhóir
ceantair ghaeltachta,An Bhinn Bhuí
ceantair ghaeltachta,Binn Bhuí
ceantair ghaeltachta,Oileán na mBeo
ceantair ghaeltachta,Beirtreach
ceantair ghaeltachta,Cuan na Beirtrí Buí
ceantair ghaeltachta,An tOileán Fada
ceantair ghaeltachta,An tOileán Mór
ceantair ghaeltachta,Íochtair
ceantair ghaeltachta,An tOileán Mór
ceantair ghaeltachta,An tOileán Mór
ceantair ghaeltachta,An tOileán Mór
ceantair ghaeltachta,An tOileán Mór
ceantair ghaeltachta,Oileán na bhFraochóg
ceantair ghaeltachta,Oileán na bhFraochóg
ceantair ghaeltachta,Carraig na bhFraochóg
ceantair ghaeltachta,Reilig na mBiliú
ceantair ghaeltachta,Bile Beag
ceantair ghaeltachta,Biorán
ceantair ghaeltachta,Carraigeacha Bhior
ceantair ghaeltachta,Beag
ceantair ghaeltachta,Carraig na nÉan
ceantair ghaeltachta,Na Briolla
ceantair ghaeltachta,Na hIfearnáin
ceantair ghaeltachta,An tOileán Dubh
ceantair ghaeltachta,Loch an Dúigh
ceantair ghaeltachta,An Lochán Dubh
ceantair ghaeltachta,An Charraig Dhubh
ceantair ghaeltachta,Cuan Chluain Aidhle
ceantair ghaeltachta,Bay
ceantair ghaeltachta,An Sunda Caoch
ceantair ghaeltachta,Carraig Bab
ceantair ghaeltachta,An Buachaill Mór
ceantair ghaeltachta,Bóthar na Coille
ceantair ghaeltachta,Bóthar na nOileán
ceantair ghaeltachta,Both Chuanna
ceantair ghaeltachta,Buaile Chlogáin
ceantair ghaeltachta,Loch Bhoth Loiscthe
ceantair ghaeltachta,Banrach Choladán
ceantair ghaeltachta,Bóithrín na Cloiche
ceantair ghaeltachta,Cnoc Bhoth Bhrocháin
ceantair ghaeltachta,Caorán Bhoth
ceantair ghaeltachta,Bhrocháin
ceantair ghaeltachta,Loch Leacrach
ceantair ghaeltachta,An Crompán Mór
ceantair ghaeltachta,An tOileán Thoir
ceantair ghaeltachta,Middle
ceantair ghaeltachta,An tOileán Thiar
ceantair ghaeltachta,South
ceantair ghaeltachta,An tOileán Leathan
ceantair ghaeltachta,An Charraig Leathan
ceantair ghaeltachta,An tOileán Donn
ceantair ghaeltachta,Oileán na mBrúnach
ceantair ghaeltachta,Oileán an Phocaide
ceantair ghaeltachta,Oileáin an Phocaide
ceantair ghaeltachta,An Bodach Crom
ceantair ghaeltachta,Ballán an Cheathrair
ceantair ghaeltachta,rairalainn
ceantair ghaeltachta,Ballán Mhaolodhair
ceantair ghaeltachta,Oileán na Luachra
ceantair ghaeltachta,Bun na Cruaiche
ceantair ghaeltachta,An Chuinneog
ceantair ghaeltachta,Bun Gabhla
ceantair ghaeltachta,Loch Bhun na Cluife
ceantair ghaeltachta,Binn Uí Chuinneáin
ceantair ghaeltachta,Bun na hAbhann
ceantair ghaeltachta,hAbhann Theas
ceantair ghaeltachta,Bun na Cille
ceantair ghaeltachta,Bun an tSrutha
ceantair ghaeltachta,An tOileán Dóite
ceantair ghaeltachta,An tOileán Dóite
ceantair ghaeltachta,Oileán na Sceach
ceantair ghaeltachta,Oileán na Sceach
ceantair ghaeltachta,Oileán na Sceach
ceantair ghaeltachta,An Chathair
ceantair ghaeltachta,An Chathair Ard
ceantair ghaeltachta,Cathair an tSúdaire
ceantair ghaeltachta,Cathair na mBan
ceantair ghaeltachta,An Caladh Mór
ceantair ghaeltachta,Oileán an Lao
ceantair ghaeltachta,Caladh na Feamainne
ceantair ghaeltachta,Loch Chaladh an
ceantair ghaeltachta,Chnoic
ceantair ghaeltachta,Caladh Ainnse
ceantair ghaeltachta,Theas
ceantair ghaeltachta,An Caladh Mór
ceantair ghaeltachta,Caladh na Leice
ceantair ghaeltachta,Cuan Chamais
ceantair ghaeltachta,Cnoc Chamais
ceantair ghaeltachta,Droichead na Canálach
ceantair ghaeltachta,Carraig Cheanainne
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Ceann an Bhroibh
ceantair ghaeltachta,Carn na Muimhneach
ceantair ghaeltachta,Carnán na bhFiach
ceantair ghaeltachta,Scroigín
ceantair ghaeltachta,Oileán na Cara
ceantair ghaeltachta,Cora Dá Chloch
ceantair ghaeltachta,Thoir
ceantair ghaeltachta,Cara Fionnla
ceantair ghaeltachta,Cara na Láibe
ceantair ghaeltachta,Cuan Chara Bheag
ceantair ghaeltachta,Carraig an Bhranda
ceantair ghaeltachta,Cora an Chaisleáin
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Carraig an Doireachta
ceantair ghaeltachta,Dúleac
ceantair ghaeltachta,Carraigeacha an tSín
ceantair ghaeltachta,Carraig na gCon
ceantair ghaeltachta,Carraig Uí Chaollaigh
ceantair ghaeltachta,Bheag
ceantair ghaeltachta,Carraig Uí Chaollaigh
ceantair ghaeltachta,Mhór
ceantair ghaeltachta,Carraig an Liagáin
ceantair ghaeltachta,Droichead Charraig an
ceantair ghaeltachta,Carraig Uí Loinscigh
ceantair ghaeltachta,Cora na Creathnaí
ceantair ghaeltachta,Carraig Anna
ceantair ghaeltachta,Carraig na nGarrántaí
ceantair ghaeltachta,Carraig an Aibhnín
ceantair ghaeltachta,Sháile
ceantair ghaeltachta,Carraig an Ime
ceantair ghaeltachta,Thuaidh
ceantair ghaeltachta,Carraig an Óig
ceantair ghaeltachta,Carraig an Phíobaire
ceantair ghaeltachta,Carraig Tíre
ceantair ghaeltachta,Carraig an Bhaile
ceantair ghaeltachta,Carraig an Bhalláin
ceantair ghaeltachta,Carraig an Mhogaill
ceantair ghaeltachta,Carraig an Mhatail
ceantair ghaeltachta,Carraig Bhéal na
ceantair ghaeltachta,hAbhann
ceantair ghaeltachta,Carraig Bhéal Nua
ceantair ghaeltachta,An Charraig Bhuí
ceantair ghaeltachta,Carraig Eilte
ceantair ghaeltachta,Carraig Eilte Thoir
ceantair ghaeltachta,Carraig Eilte Thuaidh
ceantair ghaeltachta,Carraig Éamainn Mhic
ceantair ghaeltachta,donagha
ceantair ghaeltachta,Carraig Éamainn Rua
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,Carraig Oileán na
ceantair ghaeltachta,Scailpe
ceantair ghaeltachta,Carraig Iacób
ceantair ghaeltachta,An Charraig Leathan
ceantair ghaeltachta,An Charraig Láir
ceantair ghaeltachta,An Charraig Liath
ceantair ghaeltachta,Carraig Chloiche Báite
ceantair ghaeltachta,Carraig Marian
ceantair ghaeltachta,Carraig Mháirtín
ceantair ghaeltachta,An Charraig Mhór
ceantair ghaeltachta,An Charraig Mhór
ceantair ghaeltachta,Theas
ceantair ghaeltachta,An Charraig Mhór
ceantair ghaeltachta,Carraig na bPiseog
ceantair ghaeltachta,Carraig na bPortán
ceantair ghaeltachta,Rocks
ceantair ghaeltachta,Carraig na nGabhar
ceantair ghaeltachta,Carraig na hAille Buí
ceantair ghaeltachta,Carraig na Leac Bheag
ceantair ghaeltachta,Carraig na Leac Mhór
ceantair ghaeltachta,Carraig an Logáin
ceantair ghaeltachta,Carraig na Loinge
ceantair ghaeltachta,Carraige Meacain
ceantair ghaeltachta,Mullán na mBod Gorm
ceantair ghaeltachta,or Bullaunabawd
ceantair ghaeltachta,Carraig na mBan
ceantair ghaeltachta,Carraig na Murtharnaí
ceantair ghaeltachta,Carraig na nÉan
ceantair ghaeltachta,Carraig na Sruth
ceantair ghaeltachta,Carraig an tSnámha
ceantair ghaeltachta,Carraig an Ime
ceantair ghaeltachta,Carraigeacha Charraig
ceantair ghaeltachta,an Ime
ceantair ghaeltachta,Carraig Fhuathach
ceantair ghaeltachta,Carraig Dhuáin
ceantair ghaeltachta,Carraig Ruairí
ceantair ghaeltachta,Carraig Ruaidí
ceantair ghaeltachta,Carraig Sín
ceantair ghaeltachta,Carraig an Bhrutha
ceantair ghaeltachta,Carraig an Mhiú
ceantair ghaeltachta,Carraig Bhriste
ceantair ghaeltachta,Carraig Liam Uí
ceantair ghaeltachta,Dhónaill
ceantair ghaeltachta,Carraig Mhór Aill an
ceantair ghaeltachta,Mhóta
ceantair ghaeltachta,An Charraig Mhór
ceantair ghaeltachta,Carraig Uí
ceantair ghaeltachta,Mhuimhneacháin
ceantair ghaeltachta,An Carraigín
ceantair ghaeltachta,Carraigín na Buinní
ceantair ghaeltachta,Carraigín na Muc
ceantair ghaeltachta,Islands
ceantair ghaeltachta,Carraigín na Sceiche
ceantair ghaeltachta,Uachtair
ceantair ghaeltachta,Carraigín Leamhaigh
ceantair ghaeltachta,Ceathrú an Chaisleáin
ceantair ghaeltachta,Ceathrú Droim
ceantair ghaeltachta,Arlamáin
ceantair ghaeltachta,An Cheathrú Chaol
ceantair ghaeltachta,Ceathrú an Locha
ceantair ghaeltachta,Ceathrú an Phoillín
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,An Cartúr Caol
ceantair ghaeltachta,Cuan Chaisín
ceantair ghaeltachta,An Caisleán
ceantair ghaeltachta,Casla
ceantair ghaeltachta,Droichead Chasla
ceantair ghaeltachta,Cuan Chasla
ceantair ghaeltachta,Bay
ceantair ghaeltachta,Cora Chasla
ceantair ghaeltachta,Abhainn Chasla
ceantair ghaeltachta,Loch an Charra
ceantair ghaeltachta,Cora an Chaisleáin
ceantair ghaeltachta,Reilig an Chaisleáin
ceantair ghaeltachta,Ground
ceantair ghaeltachta,Caiseal an Ime
ceantair ghaeltachta,An Chéibh Nua
ceantair ghaeltachta,Oileán an Teampaill
ceantair ghaeltachta,Carraig na Cáise
ceantair ghaeltachta,Claí Dearg
ceantair ghaeltachta,Claonoileán
ceantair ghaeltachta,An Coirnéal
ceantair ghaeltachta,Clochán na Carraige
ceantair ghaeltachta,Cló Droma
ceantair ghaeltachta,Na Clocha Buí
ceantair ghaeltachta,ruins)
ceantair ghaeltachta,Clochán an Mhealláin
ceantair ghaeltachta,Clochán
ceantair ghaeltachta,Cloch an Fhaoileáin
ceantair ghaeltachta,Thuaidh
ceantair ghaeltachta,Oileán Chloch an
ceantair ghaeltachta,Fhaoileáin
ceantair ghaeltachta,Cloch an Róin
ceantair ghaeltachta,An Clochán
ceantair ghaeltachta,Droichead an
ceantair ghaeltachta,Chlocháin
ceantair ghaeltachta,An Clochar
ceantair ghaeltachta,Clochar an Spiacáin
ceantair ghaeltachta,An Clochar Beag
ceantair ghaeltachta,Clochar an Bhranda
ceantair ghaeltachta,Clochar an Bhranda
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Loch Chlochar Cheann
ceantair ghaeltachta,an Locha
ceantair ghaeltachta,An Loch Buí
ceantair ghaeltachta,Cloichrinn
ceantair ghaeltachta,An Chloch Mhaol
ceantair ghaeltachta,Cnoc na nIníonacha
ceantair ghaeltachta,An Chloch Scoilte
ceantair ghaeltachta,An Clochbhaile
ceantair ghaeltachta,Caisleán Chluain Bú
ceantair ghaeltachta,Carraig Chluain Brón
ceantair ghaeltachta,Abhainn Bhaile Uí
ceantair ghaeltachta,Chadhain
ceantair ghaeltachta,Loch Chúil na Ceártan
ceantair ghaeltachta,Droichead Chluain
ceantair ghaeltachta,tSoipín
ceantair ghaeltachta,Cladach an tSiúite
ceantair ghaeltachta,Sruthán an Chlaí Bháin
ceantair ghaeltachta,Cuan Chladhnach
ceantair ghaeltachta,Cnoc Mordáin
ceantair ghaeltachta,Comhad
ceantair ghaeltachta,Oileán na bhFraochóg
ceantair ghaeltachta,Carraig an Oileáin
ceantair ghaeltachta,Ghairbh
ceantair ghaeltachta,Oileán an Chartha
ceantair ghaeltachta,Carraig an Oileáin
ceantair ghaeltachta,Ghairbh Thoir
ceantair ghaeltachta,Carraig an Gharda
ceantair ghaeltachta,An Codú
ceantair ghaeltachta,Theas
ceantair ghaeltachta,An Cuan Caol
ceantair ghaeltachta,Cuan na Scolba
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Loch na Tulaí Buí
ceantair ghaeltachta,Loch Chualainn
ceantair ghaeltachta,An Chúltrá
ceantair ghaeltachta,An Trá Bheag
ceantair ghaeltachta,Cuan an Mhuilinn
ceantair ghaeltachta,An Córa
ceantair ghaeltachta,Corcóg
ceantair ghaeltachta,Leckavrea Mountain
ceantair ghaeltachta,An Corrthuar
ceantair ghaeltachta,Íochtair
ceantair ghaeltachta,An Charcair
ceantair ghaeltachta,Carraigeacha Chorcaí
ceantair ghaeltachta,Tobar Cormaic
ceantair ghaeltachta,Carraig na gCailleach
ceantair ghaeltachta,Dubh
ceantair ghaeltachta,Tulach na Reilige
ceantair ghaeltachta,Oileán an Choirce
ceantair ghaeltachta,Oileán an Choirce
ceantair ghaeltachta,Cor na dTráchta
ceantair ghaeltachta,Abhainn Chorr na
ceantair ghaeltachta,Móna
ceantair ghaeltachta,Dumhaigh Léireabháin
ceantair ghaeltachta,Log an Choire Bhig
ceantair ghaeltachta,Corrghleann
ceantair ghaeltachta,Cora na Céibhe
ceantair ghaeltachta,Lochanna Chora Chinn
ceantair ghaeltachta,Cnoic
ceantair ghaeltachta,Abhainn Chora
ceantair ghaeltachta,Saileach
ceantair ghaeltachta,Corrán na Cloiche
ceantair ghaeltachta,Coiscéim na gCailleach
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,Carraig na gCoileach
ceantair ghaeltachta,Corrúch
ceantair ghaeltachta,An Creachoileán
ceantair ghaeltachta,An Creachoileán
ceantair ghaeltachta,An Creachoileán
ceantair ghaeltachta,Na Creaga Móra
ceantair ghaeltachta,Creig na Leatan
ceantair ghaeltachta,Carraigeacha an
ceantair ghaeltachta,Chnapaigh
ceantair ghaeltachta,An Chré Dhubh
ceantair ghaeltachta,Loch an Chaolaigh
ceantair ghaeltachta,Croiminne
ceantair ghaeltachta,Loch na nÁthanna
ceantair ghaeltachta,Móra
ceantair ghaeltachta,An Chaonach
ceantair ghaeltachta,Creig an Bhlaocháin
ceantair ghaeltachta,Abhainn na Creige
ceantair ghaeltachta,Creig an Chéirín
ceantair ghaeltachta,Creagán Ard
ceantair ghaeltachta,An Creagán Caol
ceantair ghaeltachta,Dún an Chreagáin
ceantair ghaeltachta,Chaoil
ceantair ghaeltachta,Creig an Teampaill
ceantair ghaeltachta,Na Creagáin
ceantair ghaeltachta,Creig Dhúgáin
ceantair ghaeltachta,Cnoc Lios Uachtair
ceantair ghaeltachta,Cruachán Coilleán
ceantair ghaeltachta,Carraig an Bharra
ceantair ghaeltachta,Chaim
ceantair ghaeltachta,Oileán an Phréacháin
ceantair ghaeltachta,Cnoc Ballach
ceantair ghaeltachta,Carraigeacha an
ceantair ghaeltachta,Chrúisigh
ceantair ghaeltachta,Droichead
ceantair ghaeltachta,Chromghlinne
ceantair ghaeltachta,Abhainn Chromghlinne
ceantair ghaeltachta,An Cromall
ceantair ghaeltachta,An Cromall
ceantair ghaeltachta,An Crompán
ceantair ghaeltachta,Crompán na nUaimíní
ceantair ghaeltachta,An Crompán Mór
ceantair ghaeltachta,An Croisín
ceantair ghaeltachta,Droichead an Chroisín
ceantair ghaeltachta,Coill Tearmaid
ceantair ghaeltachta,Cnoc an Choillín
ceantair ghaeltachta,An Colbha Garbh
ceantair ghaeltachta,Carraig an Chomair
ceantair ghaeltachta,Carraig an Chomair
ceantair ghaeltachta,Oileán an Chrotaigh
ceantair ghaeltachta,Cora na Cleithe
ceantair ghaeltachta,Cora na hAille
ceantair ghaeltachta,Currach an Tí Móir
ceantair ghaeltachta,Cora Bhaile Liam
ceantair ghaeltachta,Thoir
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,Carraig Churrach
ceantair ghaeltachta,Earballach
ceantair ghaeltachta,Cora Sheáin
ceantair ghaeltachta,An Chora Ghlas
ceantair ghaeltachta,Cora na Gaoithe
ceantair ghaeltachta,Sháile
ceantair ghaeltachta,Cora na Teorann
ceantair ghaeltachta,Caorán an Bhiorla
ceantair ghaeltachta,Currach na mBanbh
ceantair ghaeltachta,Carraigeacha Chora
ceantair ghaeltachta,Rua
ceantair ghaeltachta,An Chois
ceantair ghaeltachta,Cois na hAbhann
ceantair ghaeltachta,Tobar Cuitbeirt
ceantair ghaeltachta,Oileán na Nóiníní
ceantair ghaeltachta,Oileán Uí Dhálaigh
ceantair ghaeltachta,An Daingean Thiar
ceantair ghaeltachta,Oileán na Marbh
ceantair ghaeltachta,Carraigín na nDaoine
ceantair ghaeltachta,Marbha
ceantair ghaeltachta,Oileán na nDaoine
ceantair ghaeltachta,Marbha
ceantair ghaeltachta,Oileán na nDaoine
ceantair ghaeltachta,Marbha
ceantair ghaeltachta,Oileán an Déin
ceantair ghaeltachta,Oileán an Fhia
ceantair ghaeltachta,Doirín na Bruíne
ceantair ghaeltachta,An Doirtheacht
ceantair ghaeltachta,Carraig Darbaí
ceantair ghaeltachta,Leaba Dhiarmada agus
ceantair ghaeltachta,Bed
ceantair ghaeltachta,Leaba Dhiarmada agus
ceantair ghaeltachta,Bed
ceantair ghaeltachta,Doirín na Slige
ceantair ghaeltachta,Doire Uachtair
ceantair ghaeltachta,Carraig Dhoire
ceantair ghaeltachta,Carraig Dhoire Theas
ceantair ghaeltachta,Sruthán Doire Chrith
ceantair ghaeltachta,Sruthán Doire
ceantair ghaeltachta,Ghamhna
ceantair ghaeltachta,Doire na Cathrach
ceantair ghaeltachta,Íochtair
ceantair ghaeltachta,Loch Dhoire an Fhéich
ceantair ghaeltachta,Aill na mBád
ceantair ghaeltachta,An Dún
ceantair ghaeltachta,Oileán an Mhada
ceantair ghaeltachta,Oileán an Mhada
ceantair ghaeltachta,Carraig Oileán an
ceantair ghaeltachta,Mhada
ceantair ghaeltachta,Carraig Oileán an
ceantair ghaeltachta,Mhada
ceantair ghaeltachta,Cuan an Mhada
ceantair ghaeltachta,Ceann an Mhada
ceantair ghaeltachta,Doire Fhatharta
ceantair ghaeltachta,An Dóilín
ceantair ghaeltachta,Dún Dúchathair
ceantair ghaeltachta,Abhainn Dhubhachta
ceantair ghaeltachta,An Cnoc Bán
ceantair ghaeltachta,Dóilín an Ghabhair
ceantair ghaeltachta,Dúleitir
ceantair ghaeltachta,Loch Dhúleitir
ceantair ghaeltachta,Loch Dhúleitir Beag
ceantair ghaeltachta,An Dún
ceantair ghaeltachta,Carraigeacha an Dúin
ceantair ghaeltachta,Coill an Dúin
ceantair ghaeltachta,Dúnach Ard
ceantair ghaeltachta,An Dún Beag
ceantair ghaeltachta,Dún Chonchúir
ceantair ghaeltachta,An Dúinín
ceantair ghaeltachta,Dún Fearbhaí
ceantair ghaeltachta,Dún Mhánas
ceantair ghaeltachta,Carraig Dhún Mhánas
ceantair ghaeltachta,Droichead Dún na
ceantair ghaeltachta,Cille
ceantair ghaeltachta,Dabhach an tSnámha
ceantair ghaeltachta,Droichead an Úcaire
ceantair ghaeltachta,Bridge
ceantair ghaeltachta,Abhainn an Droimín
ceantair ghaeltachta,Cloch an Draoi
ceantair ghaeltachta,Loch an Droma
ceantair ghaeltachta,Loch an Droma Thiar
ceantair ghaeltachta,Droim an Liagáin
ceantair ghaeltachta,Thuaidh
ceantair ghaeltachta,Droim Arlamáin
ceantair ghaeltachta,Droim an Dá Rú
ceantair ghaeltachta,Droimín na Sionnach
ceantair ghaeltachta,Sháile
ceantair ghaeltachta,Carraig Lachan
ceantair ghaeltachta,Carraig Oileán Lachan
ceantair ghaeltachta,Reilig Choigéil
ceantair ghaeltachta,Dún Eoghanachta
ceantair ghaeltachta,Dún Aonghasa
ceantair ghaeltachta,Oileáin an Iolra
ceantair ghaeltachta,Carraig an Iolra
ceantair ghaeltachta,Carraig an Iolra
ceantair ghaeltachta,Thuaidh
ceantair ghaeltachta,Iaráirne
ceantair ghaeltachta,Gob Iarthar an Bhaile
ceantair ghaeltachta,Íochtar na hAille
ceantair ghaeltachta,Aill an Chrosáin
ceantair ghaeltachta,An Easca Bheag
ceantair ghaeltachta,Abhainn Thír na Cille
ceantair ghaeltachta,Cnoc na Sióg
ceantair ghaeltachta,Cnoc na Sióg
ceantair ghaeltachta,Fardoras
ceantair ghaeltachta,Fardoras
ceantair ghaeltachta,Carraigíní Fharnochta
ceantair ghaeltachta,Rua-oileáin Fharnochta
ceantair ghaeltachta,Fearann na gCeann
ceantair ghaeltachta,Fearann an Choirce
ceantair ghaeltachta,Oatquarter
ceantair ghaeltachta,An Fhearbhach
ceantair ghaeltachta,Faiche na Cille
ceantair ghaeltachta,Ground
ceantair ghaeltachta,Carraigeacha Philibín
ceantair ghaeltachta,Na Foiriúin ó Thuaidh
ceantair ghaeltachta,Na Foiriúin ó Dheas
ceantair ghaeltachta,Sruthán Chor na Rón
ceantair ghaeltachta,Carraig Bhaird
ceantair ghaeltachta,Carraig Chora Fínse
ceantair ghaeltachta,South
ceantair ghaeltachta,Carraigeacha Fínse
ceantair ghaeltachta,Fionnoileán
ceantair ghaeltachta,Abhainn Fhionnaithe
ceantair ghaeltachta,Maol an Éisc
ceantair ghaeltachta,Cora an Iascaire
ceantair ghaeltachta,Carraigeacha an
ceantair ghaeltachta,Iascaire
ceantair ghaeltachta,Droichead Uí
ceantair ghaeltachta,Fhlannabhra
ceantair ghaeltachta,An Charraig Leathan
ceantair ghaeltachta,An Charraig Leathan
ceantair ghaeltachta,An Charraig Leathan
ceantair ghaeltachta,Carraig na Muineál
ceantair ghaeltachta,Carraig Fainic
ceantair ghaeltachta,Abhainn na Fuaiche
ceantair ghaeltachta,Na Foraí Maola
ceantair ghaeltachta,An Sunda Salach
ceantair ghaeltachta,Oileán an tSionnaigh
ceantair ghaeltachta,Carraig Fraochán
ceantair ghaeltachta,Trá na bhFrancach
ceantair ghaeltachta,Tobar na mBráthar
ceantair ghaeltachta,Droichead na
ceantair ghaeltachta,bhForbach
ceantair ghaeltachta,Abhainn na bhForbach
ceantair ghaeltachta,Trá na bhForbach
ceantair ghaeltachta,An Formna
ceantair ghaeltachta,ruins)
ceantair ghaeltachta,Oileán an Aitinn
ceantair ghaeltachta,Na Cocalóidí
ceantair ghaeltachta,Loch Ghleann Dá
ceantair ghaeltachta,Glendollagh Lough
