placename,sentence,model
Baile an Dúna,Rachaimid go Baile an Dúna ar saoire an Samhradh seo.,claude-3-haiku-20240307
Baile an Logáin,Rachaidh mé go Baile an Logáin ar laethanta saoire an tsamhraidh.,claude-3-haiku-20240307
Caisleán Bhaile an,Tá sé ar intinn ag an rialtas bonneagar nua a fhorbairt i gCaisleán Bhaile an.,claude-3-haiku-20240307
Baile an Dúin,Maireann daoine aosta go Baile an Dúin go fóill.,claude-3-haiku-20240307
Baile an Lisín,Bíonn turas siúlóide ar siúl i mBaile an Lisín gach Domhnach.,claude-3-haiku-20240307
Baile an tSagairt,Tá sé beartaithe pairc nua spóirt a oscailt i mBaile an tSagairt an mhí seo chugainn.,claude-3-haiku-20240307
An Teach Mór,Bíonn dathanna bríomhara le feiceáil in Teach Mór i rith na bliana.,claude-3-haiku-20240307
Sruthán Bhaile an,Ceaptar go mbeidh olltoghchán ann i Sruthán Bhaile an an bhliain seo chugainn.,claude-3-haiku-20240307
tSagairt,Beidh taispeántas ealaíne i dteach tSagairt an mhí seo.,claude-3-haiku-20240307
Loch Bhaile Uí Chuirc,Déanfaidh muid siar go Loch Bhaile Uí Chuirc chun iascaireachta a dhéanamh.,claude-3-haiku-20240307
Baile an tSléibhe,Cheannaigh siad teach nua i mBaile an tSléibhe le déanaí.,claude-3-haiku-20240307
Baile an Dónalláin,Ceiliúrann muintir Bhaile an Dónalláin a gcultúr agus a n-oidhreacht gach bliain.,claude-3-haiku-20240307
Baile an Teampaill,Beidh dráma nua á léiriú in Baile an Teampaill an gheimhreadh seo.,claude-3-haiku-20240307
Baile Chonamara,Rachaimid go Baile Chonamara ar saoire an samhradh seo.,claude-3-haiku-20240307
Loch Bhaile Dhúlocha,Bíonn turas bia agus ceoil á reáchtáil in Loch Bhaile Dhúlocha gach Samhain.,claude-3-haiku-20240307
An Baile Fánach,Bíonn an-chuid turasóirí ag dul go dtí An Baile Fánach le linn an tsamhraidh.,claude-3-haiku-20240307
An Baile Thíos,Bíonn siopa bácála iontach i mBaile Thíos a dhíolann arán agus milseáin den scoth.,claude-3-haiku-20240307
An Baile Láir,Tá an Baile Láir ag fás go tapa le blianta beaga anuas.,claude-3-haiku-20240307
Baile Éamainn,Ceannaíonn muid ár ngrothaí ó Bhaile Éamainn gach Satharn.,claude-3-haiku-20240307
Carraigíní Bhaile Uí,Déanfaimid picnic álainn i gCarraigíní Bhaile Uí an samhradh seo.,claude-3-haiku-20240307
Baile Uí Luinneacháin,Chuaigh mé ag siopadóireacht ar fud shráideanna Bhaile Uí Luinneacháin an tseachtain seo.,claude-3-haiku-20240307
Chadhain,Caithfidh muid dul go Chadhain chun freastal ar an gcomhdháil.,claude-3-haiku-20240307
Sruthán Bhaile an,Caitheann muid roinnt ama ar an trá ag Sruthán Bhaile an gach samhradh.,claude-3-haiku-20240307
Mhóinín,Tá sé beartaithe críochfhás a dhéanamh i Mhóinín sa bhliain seo chugainn.,claude-3-haiku-20240307
Baile na Creige,Beidh mé ag taisteal go Baile na Creige an samhradh seo chugainn.,claude-3-haiku-20240307
Baile na Buaile Glaise,Beidh ionad turasóireachta nua á thógáil i mBaile na Buaile Glaise an bhliain seo chugainn.,claude-3-haiku-20240307
Baile na hUamhnach,Bíonn imeachtaí cultúrtha rialta i mBaile na hUamhnach.,claude-3-haiku-20240307
Loch Bhaile na hInse,Bíonn líon mór turasóirí ag cuairt ar Loch Bhaile na hInse gach samhradh.,claude-3-haiku-20240307
Baile na hAbhna,Rachaimid go Baile na hAbhna le haghaidh an fhéile samhraidh.,claude-3-haiku-20240307
Loch Bhaile na Cille,Bainfidh daoine taitneamh as an gcomhshaol álainn ar Loch Bhaile na Cille.,claude-3-haiku-20240307
Baile an Bhodaigh,Tá sé beartaithe go mbeidh ceardlanna ealaíne ann i mBaile an Bhodaigh an samhradh seo.,claude-3-haiku-20240307
An Baile Nua,Tá an margadh áitiúil ag dul ar aghaidh go maith in An Baile Nua.,claude-3-haiku-20240307
Baile Liam,Beidh ceolchoirm thábhachtach ar siúl i mBaile Liam an mhí seo chugainn.,claude-3-haiku-20240307
Carraig an Bharra,Rachaidh an grúpa sin ar thuras go Carraig an Bharra an samhradh seo.,claude-3-haiku-20240307
An tOileán Lom,Bíonn sé an-chiúin ar An tOileán Lom i rith na hoíche.,claude-3-haiku-20240307
Barra Árann,Rachfaidh mé go Barra Árann chun na háilleachta a bhlaiseadh.,claude-3-haiku-20240307
Cnoc na hEorna,Caitheann na turasóirí a gcuid ama saor ag Cnoc na hEorna i rith an tsamhraidh.,claude-3-haiku-20240307
Barr an Phointe,Tá an pobal ag pleanáil píosa ealaíne mór a chruthú ar Bharr an Phointe.,claude-3-haiku-20240307
An Charraig Lom,Rachaidh mé go minic go dtí An Charraig Lom chun siúl agus spraoi a dhéanamh.,claude-3-haiku-20240307
Barr Aille,Tógfar árasáin nua i mBarr Aille an bhliain seo chugainn.,claude-3-haiku-20240307
Barr an Chrompáin,Rachaidh an grúpa turais go dtí Barr an Chrompáin chun féachaint ar an radharc álainn.,claude-3-haiku-20240307
Carraig na hEorna,Imeoidh muid ag spaisteoireacht tríd Charraig na hEorna an deireadh seachtaine seo.,claude-3-haiku-20240307
Caisleán Bhearna,Beidh comhdháil idirnáisiúnta ar siúl i gCaisleán Bhearna an bhliain seo chugainn.,claude-3-haiku-20240307
Loch Bheitheach,Rachaimid go Loch Bheitheach le haghaidh laethanta saoire an samhradh seo.,claude-3-haiku-20240307
Barr Log Riabhach,Déanann siad ceardlanna traidisiúnta i mBarr Log Riabhach gach mí.,claude-3-haiku-20240307
Chatha,Déanann muid picnic i gChatha gach Satharn.,claude-3-haiku-20240307
Loch Bheitheach,Tá na turasóirí ag scaoileadh na n-eolaí i Loch Bheitheach.,claude-3-haiku-20240307
Oileán an Bharra,Gabhann an bád ó Oileán an Bharra go dtí an mórthír gach lá.,claude-3-haiku-20240307
Carraigeacha na,Tá na Carraigeacha na álainn ar fad in aghaidh na trá.,claude-3-haiku-20240307
Ghaibhnín,Bíonn cóisir bheag ar siúl i nGhaibhnín gach Luan.,claude-3-haiku-20240307
mBeitheach,Rachaidh mé go dtí mBeitheach ar cuairt ar mo chairde an deireadh seachtaine seo.,claude-3-haiku-20240307
Ghearr,Rachaimid go Ghearr ar thóir na ndaoine áitiúla.,claude-3-haiku-20240307
Chraoi,Beidh an baile ag ceiliúradh lá breithe Chraoi an bhliain seo chugainn.,claude-3-haiku-20240307
Abhainn Bhéal Átha,Bhí an-tóir ar an damhsa traidisiúnta ag Abhainn Bhéal Átha.,claude-3-haiku-20240307
Carraig Bhealach an,Beidh an ceol thraidisiúnta ag teacht ó Charraig Bhealach an gach oíche.,claude-3-haiku-20240307
Droichead an Daingin,Tá an droichead nua tógtha ar Droichead an Daingin.,claude-3-haiku-20240307
Béal an Chalaidh,Caithfidh mé dul go Béal an Chalaidh chun bia a cheannach.,claude-3-haiku-20240307
Abhainn Bhéal na,Tá an t-iasc is fearr le fáil in Abhainn Bhéal na gCailleach.,claude-3-haiku-20240307
Binn idir an Dá Log,Bainfidh muid taitneamh as an dea-shíobháil i mBinn idir an Dá Log.,claude-3-haiku-20240307
Loch an Amadáin,Cuirfidh siad tógáil nua ar bun in aice le Loch an Amadáin.,claude-3-haiku-20240307
Binn an Charnáin,Eagraíonn an pobal imeachtaí cultúrtha speisialta i mBinn an Charnáin gach Bealtaine.,claude-3-haiku-20240307
Binn Dhubh,Beidh ceiliúradh ar leith ar siúl i mBinn Dhubh an samhradh seo chugainn.,claude-3-haiku-20240307
Binn Bhán,Ní raibh mé riamh in Binn Bhán ach tá sé ar mo liosta.,claude-3-haiku-20240307
Binn an Choire,Bhí taispeántais ealaíne den scoth ar siúl i mBinn an Choire an tseachtain seo caite.,claude-3-haiku-20240307
An Bhinn Charrach,Beidh comóradh ar an Bhinn Charrach i mbliana chun ceiliúradh a dhéanamh ar stair an cheantair.,claude-3-haiku-20240307
Binn Braoin,Beidh roinnt ceardlanna cruthaitheacha ar siúl i mBinn Braoin an samhradh seo.,claude-3-haiku-20240307
Binn an Ghlais,Suíonn na turasóirí ar bhruacha Binn an Ghlais chun an radharc álainn a mhealladh.,claude-3-haiku-20240307
An Chailleach,Déanann daoine turais laethúla timpeall Chatha.,claude-3-haiku-20240307
Binn an Choire Bhig,Cloisfear ceol traidisiúnta ag Binn an Choire Bhig i rith an tsamhraidh.,claude-3-haiku-20240307
Binn Gabhar,Déantar turais do chuairteoirí go Binn Gabhar gach samhradh.,claude-3-haiku-20240307
Binn an Phrúntaigh,Bíonn cónaí ar phobal cairdiúil i mBinn an Phrúntaigh.,claude-3-haiku-20240307
Binn an Doirín,Eagraíonn an pobal imeachtaí cultúrtha i mBinn an Doirín gach Samhradh.,claude-3-haiku-20240307
Binse Ghibson,Bíonn an tseanachaí áitiúil ag scéalaíocht do dhaoine i mBinse Ghibson.,claude-3-haiku-20240307
Oileán na mBeo,Tá an chloch stairiúil i gCaisleán Oileán na mBeo an-suimiúil do chuairteoirí.,claude-3-haiku-20240307
An Bhinn Bhuí,Bíonn roinnt damhsaí traidisiúnta ar siúl in An Bhinn Bhuí ag am na Féile Pádraig.,claude-3-haiku-20240307
An tOileán Fada,Bíonn turais bháid ar siúl ar An tOileán Fada i rith an tsamhraidh.,claude-3-haiku-20240307
An tOileán Mór,Tá daoine ag iascaireacht in An tOileán Mór le fada an lá.,claude-3-haiku-20240307
Cuan na Beirtrí Buí,Bíonn turas bád agus seoladh sconna ar siúl i gCuan na Beirtrí Buí i rith an tsamhraidh.,claude-3-haiku-20240307
Binn an tSléibhe Mhóir,Bíonn na huaisle ag spaisteoireacht timpeall Binn an tSléibhe Mhóir gach Domhnach.,claude-3-haiku-20240307
Íochtair,Déanann gach duine siopadóireacht i níochtair.,claude-3-haiku-20240307
Beirtreach,Cuireann daoine Bheirtreach fáilte roimh chuairteoirí gach samhradh.,claude-3-haiku-20240307
Carraig na bhFraochóg,Bíonn imeachtaí traidisiúnta ag Carraig na bhFraochóg gach Lá Fhéile Bríde.,claude-3-haiku-20240307
Reilig na mBiliú,Beidh reilig nua oscailte i Reilig na mBiliú an bhliain seo chugainn.,claude-3-haiku-20240307
Carraigeacha Bhior,Tá na Carraigeacha Bhior greannach le feiceáil ó chladach an oileáin.,claude-3-haiku-20240307
Oileán na bhFraochóg,Bíonn borradh mór turasóireachta ar Oileán na bhFraochóg i rith an tsamhraidh.,claude-3-haiku-20240307
Bile Beag,Feicfear an-chuid paisinéirí ag dul isteach i mBile Beag ar an traein gach maidin.,claude-3-haiku-20240307
Biorán,Bíonn siad ag rith maratons sa Bhiorán gach Satharn.,claude-3-haiku-20240307
Carraig na nÉan,Rachaidh mé ag spaisteoireacht timpeall Carraig na nÉan an deireadh seachtaine seo.,claude-3-haiku-20240307
Na Briolla,Bíonn turas iontach ar fad ar siúl timpeall Na Briolla gach Satharn.,claude-3-haiku-20240307
Na hIfearnáin,Eagraíonn pobal áitiúil roinnt imeachtaí cultúrtha in Na hIfearnáin gach bliain.,claude-3-haiku-20240307
An tOileán Dubh,Beidh imeachtaí cultúrtha ar siúl in An tOileán Dubh an samhradh seo.,claude-3-haiku-20240307
Loch an Dúigh,Bíonn muintir Loch an Dúigh ag déanamh gníomhaíochtaí pobail agus spóirt go minic.,claude-3-haiku-20240307
Cuan Chluain Aidhle,Éiríonn daoine an-ghníomhach ag Cuan Chluain Aidhle ag an am seo den bhliain.,claude-3-haiku-20240307
An Lochán Dubh,Táimid ag pleanáil turais go dtí An Lochán Dubh an Samhradh seo.,claude-3-haiku-20240307
An Charraig Dhubh,Bhí an fhoireann ag traenáil go dian ar Chaiseal an Chéirín roimh an gcomórtas.,claude-3-haiku-20240307
Loch an Dúigh Theas,Caitheann pobal Loch an Dúigh Theas an chuid is mó den aimsir ag sléibhteacht sa cheantar.,claude-3-haiku-20240307
An Sunda Caoch,Rachaidh mé ag spaisteoireacht timpeall An tSunda Caoch.,claude-3-haiku-20240307
Bay,Beidh an fhéile chultúrtha ar siúl i mBá an tSamhraidh an bhliain seo chugainn.,claude-3-haiku-20240307
Beag,Cuireann siad taispeántais ealaíne ar siúl i mBeag go rialta.,claude-3-haiku-20240307
An Buachaill Mór,Déanann an Buachaill Mór gach rud chun an ceantar a chosaint.,claude-3-haiku-20240307
Bóthar na Coille,Tá sráid bhreá siopadóireachta ar Bhóthar na Coille.,claude-3-haiku-20240307
Carraig Bab,Déanann siad margaí traidisiúnta in Carraig Bab ag an bhfeile bhliantúil.,claude-3-haiku-20240307
Both Chuanna,Tá an Ghaeltacht bhríomhar i mBoth Chuanna i gcónaí.,claude-3-haiku-20240307
Banrach Choladán,Tá Banrach Choladán cáiliúil as a cuid ceardaíochta traidisiúnta.,claude-3-haiku-20240307
Buaile Chlogáin,Gnóthaíonn daoine a mbeatha ó chaoirigh ar Bhuaile Chlogáin.,claude-3-haiku-20240307
Bóthar na nOileán,Cuireadh oibreacha feabhsúcháin ar siúl ar Bhóthar na nOileán le déanaí.,claude-3-haiku-20240307
Cnoc Bhoth Bhrocháin,Tá an chuid is mó de mhuintir Chnoic Bhoth Bhrocháin ag baint torthaí as a ngairdíní anois.,claude-3-haiku-20240307
Caorán Bhoth,Tá an saol sócúil agus ciúin i gCaorán Bhoth.,claude-3-haiku-20240307
Bhrocháin,Casann muid le cairde ag Bhrocháin gach Satharn.,claude-3-haiku-20240307
Bóithrín na Cloiche,Bíonn daoine ag siúl agus ag rothaíocht ar Bhóithrín na Cloiche i gcónaí.,claude-3-haiku-20240307
Loch Leacrach,Tiocfaidh sé go Loch Leacrach chun an tseirbhís dhiaga a fhreastail.,claude-3-haiku-20240307
An Crompán Mór,Bíonn margaí bríomhara ar siúl i gCrompán Mór ag an deireadh seachtaine.,claude-3-haiku-20240307
South,Tógfar foirgneamh nua oifige i dTuaisceart an bhaile seo chugainn.,claude-3-haiku-20240307
An tOileán Donn,Cuirfear feachtas glan-uisce ar bun ar An tOileán Donn an samhradh seo.,claude-3-haiku-20240307
An Charraig Leathan,Buailfidh mé cuairt ar An Charraig Leathan leis an gcuideachta an deireadh seachtaine seo.,claude-3-haiku-20240307
Middle,Tá an fhoireann ag traenáil go dian i Lár an Bhaile chun an cluiche a bhuachan.,claude-3-haiku-20240307
An tOileán Leathan,Déanfaimid turais chuairt ar An tOileán Leathan i rith an tsamhraidh.,claude-3-haiku-20240307
Oileáin an Phocaide,Déanann daoine aicsean snámha san Oileáin an Phocaide gach samhradh.,claude-3-haiku-20240307
An tOileán Thoir,Tógadh teach nua mór ar An tOileán Thoir le déanaí.,claude-3-haiku-20240307
Oileán an Phocaide,Tá daoine ag baint taitnimh as an nádúr álainn ar Oileán an Phocaide.,claude-3-haiku-20240307
Oileán na mBrúnach,Bhí muid ag spaisteoireacht tríd Oileán na mBrúnach ar feadh an lae inné.,claude-3-haiku-20240307
An tOileán Thiar,Tá sé i gceist ag an rialtas infheistíocht a dhéanamh in An tOileán Thiar.,claude-3-haiku-20240307
Ballán an Cheathrair,Tugtar cuairt ar Bhallán an Cheathrair ag na scoláirí gach téarma.,claude-3-haiku-20240307
An Bodach Crom,Tá an teach scoite ón An Bodach Crom go maith.,claude-3-haiku-20240307
Ballán Mhaolodhair,Ceiliúrann muintir Bhallán Mhaolodhair an chultúr áitiúil ag ceolchoirmeacha agus féilte.,claude-3-haiku-20240307
Oileán na Luachra,Reáchtáiltear féile thraidisiúnta gach Lá Fhéile Pádraig in Oileán na Luachra.,claude-3-haiku-20240307
Loch Bhun na Cluife,Bíonn daoine ag snámh i Loch Bhun na Cluife le linn an tsamhraidh.,claude-3-haiku-20240307
Bun Gabhla,Bíonn sluaite daoine ag amharc ar an bhfarraige ó Bhun Gabhla.,claude-3-haiku-20240307
Bun na Cruaiche,Oireann an timpeallacht álainn i mBun na Cruaiche go maith do ghnéithe tradisiúnta an cheantair.,claude-3-haiku-20240307
An Chuinneog,Tógtar go leor tithe nua in An Chuinneog gach bliain.,claude-3-haiku-20240307
hAbhann Theas,Bíonn siad ag snámh sa hAbhann Theas nuair a thiteann an ghrian.,claude-3-haiku-20240307
Binn Uí Chuinneáin,Éireoidh iomaíocht chlub peile i mBinn Uí Chuinneáin an bhliain seo chugainn.,claude-3-haiku-20240307
Bun na hAbhann,Rachaimid ag siopadóireacht i mBun na hAbhann gach seachtain.,claude-3-haiku-20240307
Bun na Cille,Chuaigh muid go Bun na Cille chun an séipéal nua a fheiceáil.,claude-3-haiku-20240307
An tOileán Dóite,Cuireadh an t-oileán An tOileán Dóite faoi athchóiriú le blianta beaga anuas.,claude-3-haiku-20240307
Oileán na Sceach,Bíonn na háibhéil cháiliúla á mbaint ag lucht tírdhreacha i nOileán na Sceach i rith an tsamhraidh.,claude-3-haiku-20240307
Bun an tSrutha,Eagróidh muid ócáid chultúrtha i mBun an tSrutha an samhradh seo.,claude-3-haiku-20240307
An Chathair,Tá siopaí áille ag oscailt ar fud na Cathrachnó.,claude-3-haiku-20240307
An Caladh Mór,Rachaimid go dtí An Caladh Mór ar laethanta saoire na Nollag.,claude-3-haiku-20240307
An Chathair Ard,Bíonn an baile an-ghnóthach i gCathair Ard le linn an tsamhraidh.,claude-3-haiku-20240307
Cathair an tSúdaire,Bíonn ceiliúradh na Cásca ar siúl i gCathair an tSúdaire gach bliain.,claude-3-haiku-20240307
Caladh na Feamainne,Eagraítear cuairteoirí ó Chaladh na Feamainne ar na hoileáin ghaeltachta gach samhradh.,claude-3-haiku-20240307
Oileán an Lao,Tá an t-oileán Oileán an Lao an-álainn le linn na míonna samhraidh.,claude-3-haiku-20240307
Chnoic,Roghnóidh siad suíomh nua don fhorbairt i gChnoic.,claude-3-haiku-20240307
Cathair na mBan,Déanann mic léinn ó Ollscoil Chathair na mBan taighde ar stair áitiúil an cheantair.,claude-3-haiku-20240307
Theas,Téann siad go minic go Theas chun dul siúl.,claude-3-haiku-20240307
An Caladh Mór,Beidh buaicphointí na bliana ar siúl in An Caladh Mór an samhradh seo.,claude-3-haiku-20240307
Loch Chaladh an,Beidh muid ag spaisteoireacht thart ar Loch Chaladh an an Samhradh seo chugainn.,claude-3-haiku-20240307
Cuan Chamais,Tógtar báid nua i gCuan Chamais le haghaidh iascairí.,claude-3-haiku-20240307
Caladh Ainnse,Caitheann turasóirí a chuid ama ag caitheamh bád agus ag siúl ar Chaladh Ainnse.,claude-3-haiku-20240307
Caladh na Leice,Tá mórfhéile cheoil ag tarlú i gCaladh na Leice an samhradh seo.,claude-3-haiku-20240307
Cnoc Chamais,Cuireann daoine go minic turas siúlóide timpeall Chnoc Chamais ar bun.,claude-3-haiku-20240307
Droichead na Canálach,Tá togra forbartha nua á bhreithniú do Dhroichead na Canálach.,claude-3-haiku-20240307
Cora Dá Chloch,Bíonn daoine ag siúl timpeall Chora Dá Chloch ar feadh an lae.,claude-3-haiku-20240307
Oileán na Cara,Tá an-chlú ar Oileán na Cara mar gheall ar a bhfáilte a chuireann siad roimh aíonna.,claude-3-haiku-20240307
Thoir,Bíonn an-trácht ar Thoir gach Samhradh.,claude-3-haiku-20240307
Carn na Muimhneach,Déanfar oibreacha feabhsúcháin ar Charn na Muimhneach an bhliain seo chugainn.,claude-3-haiku-20240307
Carnán na bhFiach,Cónaíonn daoine ó gach cearn den chontae i gCarnán na bhFiach.,claude-3-haiku-20240307
Ceann an Bhroibh,Bíonn an trádmharc áitiúil le fáil i siopa beag i gCeann an Bhroibh.,claude-3-haiku-20240307
Carraig Cheanainne,Beidh turas saoire againn i gCarraig Cheanainne an samhradh seo.,claude-3-haiku-20240307
Cuan Chara Bheag,Tá an-tóir ar bhád iascaireachta a ligean amach ó Chuan Chara Bheag.,claude-3-haiku-20240307
Cara na Láibe,Rachaidh mé go Cara na Láibe chun picnic a dhéanamh.,claude-3-haiku-20240307
An Charraig Fhada,Rachaimid chuig An Charraig Fhada don bhéile traidisiúnta.,claude-3-haiku-20240307
Carraig an Doireachta,Chuaigh an grúpa daltaí ar turas go Carraig an Doireachta le gairid.,claude-3-haiku-20240307
Cora an Chaisleáin,Bíonn muid ag rothaíocht thart ar Chora an Chaisleáin gach deireadh seachtaine.,claude-3-haiku-20240307
Carraig Uí Chaollaigh,Bíonn ceol agus rince ag Carraig Uí Chaollaigh ar oícheanta speisialta.,claude-3-haiku-20240307
Carraig na gCon,Tógadh teach nua le gairdín álainn i gCarraig na gCon le gairid.,claude-3-haiku-20240307
Dúleac,Rachaidh mé go minic go Dúleac le haghaidh lá iontach sa ghairdín.,claude-3-haiku-20240307
Cara Fionnla,Cuireann muintir Cara Fionnla fáilte roimh chuairteoirí le linn na Nollag.,claude-3-haiku-20240307
Carraig an Bhranda,Tá sé den scoth chun amharc ar na capaill ag rith i gCarraig an Bhranda.,claude-3-haiku-20240307
Bheag,Léifidh mé leabhar faoina stair i mBheag an tráthnóna seo.,claude-3-haiku-20240307
Mhór,Tógadh teach nua idir na cnoic i gCeathrú Mhór an bhliain seo caite.,claude-3-haiku-20240307
Carraigeacha an tSín,Tógtar eastáit nua tithíochta i gCarraigeacha an tSín an bhliain seo chugainn.,claude-3-haiku-20240307
Carraig Uí Chaollaigh,Beidh rás capall bhliantúil ar siúl i gCarraig Uí Chaollaigh an samhradh seo.,claude-3-haiku-20240307
Droichead Charraig an,Tá turasanna iontacha á reáchtáil go Droichead Charraig an gach samhradh.,claude-3-haiku-20240307
Carraig Uí Loinscigh,Tá ceol traidisiúnta ar siúl go minic i gCarraig Uí Loinscigh.,claude-3-haiku-20240307
Carraig an Liagáin,Déanfar feirmeoireacht orgánach ar mhóin i gCarraig an Liagáin amach anseo.,claude-3-haiku-20240307
Cora na Creathnaí,Déantar damhsaí traidisiúnta Gaeltachta i gCora na Creathnaí ar ócáidí speisialta.,claude-3-haiku-20240307
Carraig Anna,Gheobhaidh tú cead chun áras nua a thógáil i gCarraig Anna.,claude-3-haiku-20240307
Carraig Tíre,Chuaigh siad go Carraig Tíre le haghaidh comórtas peile.,claude-3-haiku-20240307
